pid,replicate,pl,a,b,rmse,r_squared,tm_pred
Q4JAS6,REP2,0.271639,47840.898653,671.221895,0.388,0.3867,71.36
Q4JAT1,REP3,-2494.84589,444.763579,-3.723081,0.151,0.6189,92.81
Q4JAT7,REP2,0.052077,3569.260089,41.155389,0.1007,0.9461,86.96
Q4JAU0,REP1,-3.9347,593.097493,4.64327,0.0791,0.9492,86.89
Q4JAV1,REP1,0.05949,1468.742533,17.627201,0.1098,0.8977,83.93
Q4JAV3,REP2,-541.256596,1244.660414,5.746391,0.1759,0.4582,97.74
Q4JAW7,REP2,0.492665,3667.603981,45.302845,0.0809,0.8884,89.28
Q4JB17,REP2,0.035246,4478.770046,54.397804,0.1255,0.9028,82.44
Q4JB50,REP2,-0.028541,1253.355431,16.111951,0.061,0.9697,77.52
Q4JBA2,REP3,0.037998,2211.051657,31.077668,0.1478,0.7584,71.33
Q4JBA5,REP2,0.005083,56747.664625,606.275846,0.2303,0.7814,93.6
Q4JBB7,REP2,,,,,,
Q4JBB8,REP1,,,,,,
Q4JBC9,REP2,0.494816,42217.353333,516.775443,0.1617,0.7065,82.42
Q4JBE1,REP2,,,,,,
Q4JBG0,REP1,-1.617351,792.115797,7.626046,0.1974,0.7619,87.34
Q4JBG1,REP3,-0.235725,732.667293,9.012951,0.1353,0.8403,77.95
Q4JBG3,REP1,-0.082862,706.241948,8.856,0.1271,0.8152,78.39
Q4JBJ5,REP1,0.037409,14199.279376,144.493015,0.3766,0.3404,98.32
Q4JBK3,REP1,0.309438,730.040344,9.029535,0.2437,0.3406,90.52
Q4JBL8,REP3,0.657954,284530.472545,4126.258423,0.0659,0.673,69.57
Q4JBM2,REP3,-1629.842853,269.938973,-4.773046,0.1384,0.7317,81.39
Q4JBM4,REP1,-539.423883,112.666129,-5.901911,0.2499,0.0638,100.0
Q4JBM6,REP1,-41.536649,390.193388,-0.086778,0.1198,0.783,89.8
Q4JBR0,REP2,0.235513,1211.670511,15.925332,0.1159,0.8302,79.25
Q4JBR8,REP1,-0.637986,1182.933329,12.185902,0.2071,0.7437,90.94
Q4JBT0,REP1,0.092283,1350.643673,14.580889,0.1253,0.8052,93.95
Q4JBT3,REP1,-209.38613,398.851364,-1.562852,0.1026,0.8453,89.09
Q4JBT5,REP2,-0.239399,748.040172,8.722917,0.0836,0.9318,82.07
Q4JBT8,REP1,-0.119973,1026.784907,12.165385,0.1112,0.9024,82.94
Q4JBU5,REP1,-281.302335,119.781857,-4.480423,0.2793,0.2068,64.61
Q4JBV4,REP3,-527.490116,229.758925,-4.173471,0.1203,0.7095,82.39
Q4JBY5,REP1,,,,,,
Q4JBY8,REP3,-515.08563,180.269462,-5.026463,0.1301,0.4195,94.28
Q4JBZ2,REP2,-0.599182,761.05213,7.871176,0.0831,0.9299,87.89
Q4JBZ4,REP1,-1.109324,618.628523,5.91768,0.1171,0.8634,87.3
Q4JBZ7,REP1,-141.652059,351.506625,-1.805928,0.1959,0.4867,91.44
Q4JBZ8,REP2,0.016219,33521.767864,359.068801,0.3785,0.6565,93.37
Q4JBZ9,REP3,0.072711,1287.823469,17.512443,0.084,0.9139,74.2
Q4JC28,REP2,-1703.19461,502.573049,-2.692226,0.2475,0.4429,92.36
Q4JC67,REP2,-2005.904753,394.815141,-3.845964,0.1182,0.7989,88.7
Q4JC71,REP1,-1798.009968,471.783629,-3.331447,0.0989,0.7307,97.15
Q4JC74,REP1,-1479.666362,373.236417,-4.033702,0.1132,0.6994,94.27
Q4JC82,REP3,-0.277681,427.48365,4.672289,0.1705,0.5714,83.59
Q4JC83,REP1,-2134.515353,425.033997,-3.466167,0.1084,0.8698,86.86
Q4JCA7,REP1,-0.40459,1358.502147,14.230069,0.3172,0.5944,91.65
Q4JCB0,REP3,0.359056,41661.890004,464.090059,0.1692,0.7323,90.02
Q4JCF0,REP3,0.053498,1979.169879,27.122572,0.138,0.8282,73.28
Q4JCF3,REP2,-0.067655,1249.455819,14.8199,0.0415,0.9873,83.59
Q4JCH3,REP3,0.586442,21138.626029,291.302954,0.1711,0.5486,82.98
Q4JCK6,REP2,0.262041,7243.961762,78.323506,0.1224,0.8814,93.37
Q4JCM2,REP1,-1055.088745,245.719106,-5.405643,0.0956,0.4755,100.0
Q9P9M0,REP3,-1223.886444,347.258733,-3.599057,0.105,0.8839,82.6
